event_type,repo,actor,created_at,text,in_reply_to
IssuesEvent,ollama/ollama,lx687,2025-01-20T03:21:56Z,"Can the /API/Chat interface support session related parameters？ 
I want to control the Q&A behavior of the same user through session ID data，Does the current interface support it？

![Image](https://github.com/user-attachments/assets/407a0515-8118-4612-958f-2ca6f6f74fbc)",
IssuesEvent,ollama/ollama,Jetbuzz,2025-01-20T04:47:11Z,"Why do I keep getting ""@@@@"" as responses? ### What is the issue?

I have attached the screenshot to what is happening. I have an Nvidia 980m 4gb. Running latest version of Windows 10 and ollama.

![Image](https://github.com/user-attachments/assets/e670af15-7220-4a98-ab74-9cc398ffb52e)

### OS

Windows

### GPU

Nvidia

### CPU

Intel

### Ollama version

0.5.7",
IssueCommentEvent,ollama/ollama,Jetbuzz,2025-01-20T04:57:46Z,"![Image](https://github.com/user-attachments/assets/399bb02f-2f39-4537-9f8e-481fc58c3c9f)

I tried forcing llama to use my graphics card but still facing the same issue",
IssuesEvent,ollama/ollama,Ramachandra-2k96,2025-01-20T05:06:03Z,"Requesting this new multimodal model. Please add the openbmb/MiniCPM-o-2_6 Model.

https://huggingface.co/openbmb/MiniCPM-o-2_6",
IssuesEvent,ollama/ollama,Dim-Tim-1963,2025-01-20T05:52:00Z,"Repository for ollama/kevin? The ollama library has the tyllama/kevin model: https://ollama.com/tyllama/kevin The description says that it can be installed from the repository, with the ability to remember previous dialogs and learn from them.  But I didn't find that repository.  Does it still exist?  Removed, renamed?",
IssuesEvent,langchain-ai/langchain,ksmooi,2025-01-20T06:21:05Z,"Bug Report: TimeWeightedVectorStoreRetriever does not support Chroma due to datetime metadata issue ### Checked other resources

- [x] I added a very descriptive title to this issue.
- [x] I searched the LangChain documentation with the integrated search.
- [x] I used the GitHub search to find a similar question and didn't find it.
- [x] I am sure that this is a bug in LangChain rather than my code.
- [x] The bug is not resolved by updating to the latest stable version of LangChain (or the specific integration package).

### Example Code

This is an example from LangChain (but using Chroma instead of Faiss)
[link](https://python.langchain.com/docs/how_to/time_weighted_vectorstore/)

```python
from datetime import datetime, timedelta
from langchain.retrievers import TimeWeightedVectorStoreRetriever
from langchain_core.documents import Document
from langchain_openai import OpenAIEmbeddings
from langchain_chroma import Chroma

# Low decay rate example
# Define your embedding model
embeddi",
IssueCommentEvent,ollama/ollama,20246688,2025-01-20T06:23:58Z,"> 这要看情况。
> 
> 您可以为模型提供一个工具列表和一条系统消息，告诉它使用工具，然后发送提示并让模型决定。这是典型的方法。成功率取决于模型和提示，参见 [#6127](https://github.com/ollama/ollama/issues/6127)。
> 
> 如果您想对模型是否使用工具进行更多控制，您可以事先询问模型是否认为该工具将回答用户查询。如果它的回答是肯定的，则使用 tools 发送提示，否则将 tools 关闭 API 调用。
> 
> ollama 中没有语义识别，除了模型为任务带来的东西。

Hello, I would like to ask if the AsyncClient.chat(tools=tools) method actually accepts the tools parameter, as I referred to the code you wrote in #8451 and modified it into the following code：

import asyncio
from ollama import AsyncClient
import json
import datetime

model = 'qwen2.5'
messages = []

# Roles
USER = 'user'
ASSISTANT = 'assistant'

def get_datetime() -> str:
    """"""
    Returns the current date and time as JSON data structure, in the format
      '{{""fulldate"":""<fulldate>"",""date"":""<date>"",""time"":""<time>""}}'
    Time is in 24 hour format with the day starting at 00:00.
    """"""
    data = {
      ""fulldate"": datetime.datetime.now().strftime(""%A, %B %d, %Y %H:%M %Z""),
      ""date"": datetime.datetime.now().strft",
IssueCommentEvent,ollama/ollama,20246688,2025-01-20T06:28:10Z,"> 这要看情况。
> 
> 您可以为模型提供一个工具列表和一条系统消息，告诉它使用工具，然后发送提示并让模型决定。这是典型的方法。成功率取决于模型和提示，参见 [#6127](https://github.com/ollama/ollama/issues/6127)。
> 
> 如果您想对模型是否使用工具进行更多控制，您可以事先询问模型是否认为该工具将回答用户查询。如果它的回答是肯定的，则使用 tools 发送提示，否则将 tools 关闭 API 调用。
> 
> ollama 中没有语义识别，除了模型为任务带来的东西。
Hello, I would like to ask if the AsyncClient.chat(tools=tools) method actually accepts the tools parameter, as I referred to the code you wrote in #8451 and modified it into the following code.：

import asyncio
from ollama import AsyncClient
import json
import datetime

model = 'qwen2.5'
messages = []

USER = 'user'
ASSISTANT = 'assistant'

def get_datetime() -> str:
    """"""
    Returns the current date and time as JSON data structure, in the format
      '{{""fulldate"":""<fulldate>"",""date"":""<date>"",""time"":""<time>""}}'
    Time is in 24 hour format with the day starting at 00:00.
    """"""
    data = {
      ""fulldate"": datetime.datetime.now().strftime(""%A, %B %d, %Y %H:%M %Z""),
      ""date"": datetime.datetime.now().strftime(""%A,",
IssueCommentEvent,ollama/ollama,ggozad,2025-01-20T06:49:11Z,[oterm](https://github.com/ggozad/oterm) 0.8.0 will now connect to MCP servers and convert MCP tools to Ollama tools for use with tool-supporting models.,
IssueCommentEvent,ollama/ollama,whinc,2025-01-20T06:49:34Z,"alternative solution: start a nginx server as a proxy to ollama server, then you can configure cors in nginx leaving ollama server untouched.

request chain: browser -> nginx proxy -> ollama server

nginx conf

```
server {
    listen 8080;
    server_name <your_domain>;

    location /api {
        # keep host same as ollama server to avoid cors
        proxy_set_header Host '127.0.0.1';
        # hide origin to avoid ollama server response 403
        proxy_set_header Origin '';

        if ($request_method = 'OPTIONS') {
            add_header 'Access-Control-Allow-Origin' ""$cors_origin"";
            add_header 'Access-Control-Allow-Methods' 'GET, POST, OPTIONS';
            add_header 'Access-Control-Allow-Headers' 'Origin, Content-Type, Accept, Authorization, x-requested-with';
           # uncomment if you request include credentials
            #add_header 'Access-Control-Allow-Credentials' 'true';
            add_header 'Access-Control-Max-Age' 1728000;
            add_header '",
IssueCommentEvent,ollama/ollama,lucyyyyyyy,2025-01-20T06:57:56Z,"I am having this issue too, and experience the same behaviour.

Here is an example prompt sent to the Ollama /api/chat

`{
  ""model"": ""llama3.2:latest"",
  ""messages"": [
    {
      ""role"": ""system"",
      ""content"": ""You are a helpful assistant.""
    },
    {
      ""role"": ""user"",
      ""content"": ""return as JSON. Content: \""lucy\"" said: \""Can you please call your tool Web Search and search for apple.com?\""""
    }
  ],
  ""format"": {
    ""type"": ""object"",
    ""properties"": {
      ""response"": {
        ""type"": ""string"",
        ""minLength"": 1,
        ""description"": ""Your response to the message in the prompt""
      },
      ""expression"": {
        ""type"": ""string"",
        ""enum"": [
          ""normal"",
          ""angry"",
          ""cheerful"",
          ""excited"",
          ""friendly"",
          ""hopeful"",
          ""sad"",
          ""shouting"",
          ""terrified"",
          ""unfriendly"",
          ""whispering""
        ],
        ""description"": ""The expression you want to say your res",
IssueCommentEvent,ollama/ollama,20246688,2025-01-20T07:10:35Z,"> It depends.
> 
> You can give the model a list of tools and a system message that tells it to use tools, and then send the prompt and let the model decide. This is the typical approach. The success rate depends on the model and the prompt, see [#6127](https://github.com/ollama/ollama/issues/6127).
> 
> If you want a little more control over whether the model uses a tool, you can ask the model beforehand if it thinks a tool would answer the user query. If it replies in the affirmative, you send the prompt with tools, otherwise leave the tools off the API call.
> 
> There's no semantic recognition in ollama other than what the model brings to the task.

Hello, does the AsyncClient.chat() method include a tools parameter? For example: response = AsyncClient.chat(model=model, messages=messages, tools=tools, stream=True).",
IssueCommentEvent,ollama/ollama,twythebest,2025-01-20T07:39:44Z,+1,
IssueCommentEvent,ollama/ollama,ahmedtalaltwd7,2025-01-20T08:12:31Z,"Same issue.
Version: 0.5.7
Model : granite3.1-dense:8b",
IssuesEvent,ollama/ollama,JB-Bryant,2025-01-20T08:20:30Z,"Network issues with pulling model from ollama ### What is the issue?

When I trying to pull model from ollama by proxy whatever large model and small model(2g),it seems that redownload again and again and again, just like from 120mb to 160mb and go back to 100mb again and again and finally show ""max retries exceeded"".This issue persists probably 1 week and it worked well before.I already changed different network to try it but it still not work.:(
Thanks for ur assistant!

### OS

macOS

### GPU

Apple

### CPU

Apple

### Ollama version

0.5.7",
IssueCommentEvent,ollama/ollama,rick-github,2025-01-20T08:48:21Z,https://github.com/ollama/ollama/issues/8484,
IssueCommentEvent,ollama/ollama,TaosLezz,2025-01-20T09:12:31Z,You can find in C:\Users\dev\AppData\Local\Ollama\server.log,
IssueCommentEvent,ollama/ollama,rick-github,2025-01-20T09:17:30Z,[Server logs](https://github.com/ollama/ollama/blob/main/docs/troubleshooting.md#how-to-troubleshoot-issues) may aid in debugging.,
IssueCommentEvent,ollama/ollama,rick-github,2025-01-20T09:20:37Z,https://github.com/ollama/ollama/issues/5975,
IssueCommentEvent,ollama/ollama,rick-github,2025-01-20T09:22:13Z,https://github.com/ollama/ollama/issues/6565,
IssueCommentEvent,ollama/ollama,ericcurtin,2025-01-20T09:32:50Z,"Highly recommend just getting this working with RamaLama, see my comment:

https://github.com/ggerganov/llama.cpp/pull/11016#issuecomment-2599740463

it's pretty simple, unless one has an @ollama.com email address, you don't get significant changes merged here.
",
IssueCommentEvent,ollama/ollama,rick-github,2025-01-20T09:36:59Z,"https://github.com/ggerganov/llama.cpp/pull/10698 for adding yarn support for qwen.  The model needs to be re-quantized with llama.cpp.

> We advise adding the rope_scaling configuration only when processing long contexts is required.

It seems it might degrade the performance for shorter context lengths so probably not appropriate for the default model/",
IssueCommentEvent,ollama/ollama,rick-github,2025-01-20T09:48:36Z,Seems like a question for [ollama-python](https://github.com/ollama/ollama-python/issues).,
IssuesEvent,ollama/ollama,rick-github,2025-01-20T09:50:52Z,"[0.5.7] small models are loaded to GPU, but inference is slow and using a lot of CPU ### What is the issue?

Hello there.

Just upgraded from ollama 0.4.x version to the latest one (0.5.7) and immediately noticed that inference of all models (even small ones, like llama 3.2 3B) become very slow. Like orders of magnitude slow. I can see that during inference CPU is being used intensively, even though the model itself is loaded into VRAM of GPU and there's a lot of VRAM is still free (as per nvtop).

OS Ubuntu 22 LTS
RTX 4090

### OS

Linux

### GPU

Nvidia

### CPU

Intel

### Ollama version

0.5.7",
IssuesEvent,ollama/ollama,rick-github,2025-01-20T09:51:22Z,"Display Minimum System Requirements It would be great to have the minimum system requirements like disk space, and RAM for each model. This could be done both on the website and in the CLI like a small notice.

The minimum RAM required by the model is:

    minimum_RAM = num_of_parameters * bytes_per_parameter

I see that most models use the `Q4_K_M` or `Q4_0` quantization. So, bytes_per_parameter = $0.5$. I may be oversimplifying the complexity of this problem.",
IssuesEvent,ollama/ollama,rick-github,2025-01-20T09:52:00Z,"ollama._types.ResponseError: timed out waiting for llama runner to start - progress 0.00 - The process of loading large models into GPU memory is very slow.
Then an error will occur：
        ”**ollama._types.ResponseError: timed out waiting for llama runner to start - progress 0.00 -** “

Previously used normally, but recently the large model has been unable to load successfully. 
Why is this？",
IssuesEvent,ollama/ollama,guytechw,2025-01-20T09:54:57Z,"Ollama is working fine with CLI / powershell but goes in loop on API request. ### What is the issue?

Ollama is able to run model when a message is sent through CLI /Powershell, when Cline or Roocline is used or a prompt is sent through API. Ollama is stuck in loop of previous response.

### OS

Windows

### GPU

Nvidia

### CPU

Intel

### Ollama version

0.5.7",
IssueCommentEvent,ollama/ollama,adrian77,2025-01-20T09:55:25Z,"@jimbojw sure one can change download protocol etc, but it will not change the fact that your computer once loading the file/fragments into memory will behave unpredictable. The post is about people getting upset about download not working, but the bigger harm is post download. Your LLM inside memory will not behave as you want because of corrupt RAM. You will suffer from LLM dementia. ",
PullRequestReviewCommentEvent,langchain-ai/langchain,stefan-berkner-tilotech,2025-01-20T10:36:08Z,"These are public read-only credentials for a demo instance to ensure a quick and easy start without the need to sign-up and configure first. We would prefer to keep them, but if you insist we could put them into our docs and only refer from here.",1920887779.0
IssueCommentEvent,ollama/ollama,pepijndevos,2025-01-20T10:50:54Z,"> Could you provide links to the Raspberry Pi images with AMD drivers and Vulkan LLM Docker images? If new Docker images are created, please let me know as well.

The Raspberry Pi images are built from https://github.com/sanctuary-systems-com/operating-system (fork of hassos) and published at http://pkg.sanctuary-systems.com/hassos/ We might also make a Debian image, tbd.

Dockerfiles are published at https://github.com/sanctuary-systems-com/llm-addons and based on Ramalama images. We don't use their CLI but wrap their images as HA addons.

> it's pretty simple, unless one has an @ollama.com email address, you don't get significant changes merged here.

It's telling that SYCL support was merged and them simply dropped on the 0.4 refactor. They clearly decided CUDA and ROCm are their focus. So me for my part decided my focus should be on more open projects with first class Vulkan support, such as upstream llama.cpp and the derived ramalama images. But I applaud Pufferfish's effo",
IssueCommentEvent,langchain-ai/langchain,stefan-berkner-tilotech,2025-01-20T10:57:36Z,"After the latest changes I see the Vercel deployment failing.

```
ValueError: Provider page not found for tilores-langchain. Please add one at docs/integrations/providers/tilores-langchain.{mdx,ipynb}
```

Does the name in `packages.yml` maybe need to be inverted?
Like this:
```
- name: langchain-tilores
  path: .
  repo: tilotech/tilores-langchain
  downloads: 0
```",
IssueCommentEvent,ollama/ollama,rick-github,2025-01-20T11:32:52Z,"qwen2-vl is not supported by ollama yet, https://github.com/ollama/ollama/issues/6564",
IssueCommentEvent,langchain-ai/langchain,AkashBais,2025-01-20T11:45:10Z,"For anyone encountering the same issue, I am extract the content key from the response of the first agent creating a new AIMessage with no metadata [As the issue was with duplicate metadata key] and passing it along to the second agent.
This is a temporary way around. I still think that 1 agent should be able to consume the output of another agent as is",
IssueCommentEvent,ollama/ollama,Shiven-saini,2025-01-20T11:53:59Z,"+1, been waiting for a while, the models from individuals doesn't possess the ability of vision processing. It would be very lovely to have this support.",
IssueCommentEvent,ollama/ollama,Shiven-saini,2025-01-20T11:58:31Z,"> Is it possible and necessary to expand the endpoints for realtime api? Text/Image should be fine - but how about audio video? LiveStreaming?

I am actually working on it. I will update you regarding this.",
IssueCommentEvent,ollama/ollama,utopeadia,2025-01-20T12:12:03Z,"> > Is it possible and necessary to expand the endpoints for realtime api? Text/Image should be fine - but how about audio video? LiveStreaming?
> 
> I am actually working on it. I will update you regarding this.

Nice job! We are all looking forward to your progress.",
IssueCommentEvent,ollama/ollama,rick-github,2025-01-20T12:19:02Z,"If you could add the full log that would help, there are lines earlier with information about device detection, environment, etc. It may also help if you add `OLLAMA_DEBUG=1` to the [server environment](https://github.com/ollama/ollama/blob/main/docs/faq.md#setting-environment-variables-on-windows) for additional debugging.",
IssueCommentEvent,ollama/ollama,guytechw,2025-01-20T12:21:21Z,"![Image](https://github.com/user-attachments/assets/8995e38b-f192-4ada-8a36-4f03fa97bb79)

Primarily i am using cline. Using ollama from settings in cline extension on VS code

![Image](https://github.com/user-attachments/assets/5ba57444-e128-4ed9-886c-4d52275482fa)

![Image](https://github.com/user-attachments/assets/64d17bed-47e5-4331-b5a7-f39ab2f73bd8)

Images for your reference response is static in cline VScode extension but when I am sending any message through CLI everything is just working fine.

 ",
IssueCommentEvent,ollama/ollama,rick-github,2025-01-20T12:29:38Z,The fist image is because no payload has been sent with the generate request.  Second image contains no useful information.  I'm guessing that when you say cline you are referring to https://github.com/cline/cline.  You may get more informative reply if you ask there.,
IssuesEvent,ollama/ollama,kowshik1234,2025-01-20T12:30:17Z,"ollama run llama3-70b pulling very slow ### What is the issue?

Hi,

I just downloaded ollama and tried to run the command ` ollama pull llama3:70b-instruct-q2_K`, the download starts with good speed and exactly after 4-5 seconds speeds drop drastically to 165kbps and lower. Most of the times it stays at 0B, I tried this with both my home network and office networks same results. 

Sometimes download itself fails with the error message

`Error: max retries exceeded: Get ""https://dd20bb891979d25aebc8bec07b2b3bbc.r2.cloudflarestorage.com/ollama/docker/registry/v2/blobs/sha256/a0/a09affdc2dffd0db03e7f0d1344c374d85add72ea4c715aa69b7b427f03d35d3/data?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=66040c77ac1b787c3af820529859349a%2F20250120%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20250120T122125Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=16cdd624dc40ad8b40c4ca96bca353dfcfd259afe1ba911684b37fd44bb12541"": net/http: TLS handshake timeout
`
Please help me !

### OS

Linux

##",
PullRequestEvent,deepseek-ai/DeepSeek-R1,zhyncs,2025-01-20T12:30:38Z,docs: serving DeepSeek-R1-Distill models with SGLang,
PullRequestEvent,deepseek-ai/DeepSeek-R1,stack-heap-overflow,2025-01-20T12:58:27Z,docs: serving DeepSeek-R1-Distill models with SGLang,
IssuesEvent,langchain-ai/langchain,to-sora,2025-01-20T13:27:35Z,"I am using vllm and want to use batch process. I am using vllm and want to use batch process.
The vllm is start by 
```
vllm serve  /mnt/DATA7/MODEL/vllm_model/gguf/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf  --max-model-len 30000  --gpu-memory-utilization 1.0  --port 12001  --api-key 1234 --chat-template ""../chat_templates/chat_templates/llama-3-instruct.jinja""
cat ../chat_templates/llama-3-instruct.jinja
{% if messages[0]['role'] == 'system' %}
    {% set offset = 1 %}
{% else %}
    {% set offset = 0 %}
{% endif %}

{{ bos_token }}
{% for message in messages %}
    {% if (message['role'] == 'user') != (loop.index0 % 2 == offset) %}
        {{ raise_exception('Conversation roles must alternate user/assistant/user/assistant/...') }}
    {% endif %}

    {{ '<|start_header_id|>' + message['role'] + '<|end_header_id|>\n\n' + message['content'] | trim + '<|eot_id|>' }}
{% endfor %}

{% if add_generation_prompt %}
    {{ '<|start_header_id|>' + 'assistant' + '<|end_header_i",
IssuesEvent,deepseek-ai/DeepSeek-R1,snowkcon,2025-01-20T13:31:05Z,"Writing typo in paper 4. Discussion 
""shown in Figure 6"" 

correct should be shown in Table 6",
PullRequestEvent,langchain-ai/langchain,cbornet,2025-01-20T13:40:45Z,core: Add ruff rules A (builtins shadowing),
IssueCommentEvent,langchain-ai/langchain,vercel[bot],2025-01-20T13:40:53Z,"[vc]: #BiyJJRmpgxMQvF3VwQmBLdawLuQ89mxHa0Mqk2cnHmU=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJpbnNwZWN0b3JVcmwiOiJodHRwczovL3ZlcmNlbC5jb20vbGFuZ2NoYWluL2xhbmdjaGFpbi9HWnhhd0RyRnNmWGpOSkNOUUpCemZjR2E5bnNmIiwicHJldmlld1VybCI6ImxhbmdjaGFpbi1naXQtZm9yay1jYm9ybmV0LXJ1ZmYtY29yZS1hLWxhbmdjaGFpbi52ZXJjZWwuYXBwIiwibmV4dENvbW1pdFN0YXR1cyI6IlBFTkRJTkciLCJsaXZlRmVlZGJhY2siOnsicmVzb2x2ZWQiOjAsInVucmVzb2x2ZWQiOjAsInRvdGFsIjowLCJsaW5rIjoibGFuZ2NoYWluLWdpdC1mb3JrLWNib3JuZXQtcnVmZi1jb3JlLWEtbGFuZ2NoYWluLnZlcmNlbC5hcHAifX1dfQ==
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | 🔄 Building ([Inspect](https://vercel.com/langchain/langchain/GZxawDrFsfXjNJCNQJBzfcGa9nsf)) | [Visit Preview](https://langchain-git-fork-cbornet-ruff-core-a-langchain.vercel.app) | 💬 [**Add feedb",
PullRequestReviewCommentEvent,langchain-ai/langchain,cbornet,2025-01-20T13:42:01Z,Is it OK to consider `droplastn` private ?,
IssueCommentEvent,ollama/ollama,Rakhsan,2025-01-20T13:42:27Z,HEll yeah pls do the thing. I need rerank models ASAP!,
PullRequestReviewCommentEvent,langchain-ai/langchain,amaan-ai20,2025-01-20T13:44:31Z,There isn't one yet. I will link it up once we create one.,1920885034.0
IssueCommentEvent,ollama/ollama,Rakhsan,2025-01-20T13:50:09Z,If rerank models are supported. API docs is the first thing that we need,
IssueCommentEvent,ollama/ollama,Rakhsan,2025-01-20T13:54:06Z,I don't think that's even a issue,
IssuesEvent,ollama/ollama,CberYellowstone,2025-01-20T14:23:42Z,"Requesting support for DeepSeek-R1-Distill series models ![Image](https://github.com/user-attachments/assets/1c499601-0c22-45bc-970a-1b74648f43d5)
source: https://github.com/deepseek-ai/DeepSeek-R1#deepseek-r1-distill-models",
IssuesEvent,deepseek-ai/DeepSeek-R1,ghntd,2025-01-20T14:32:12Z,R1的成功经验是否能够直接迁移到小模型上而不是通过蒸馏 千呼万唤始出来，简单看过报告后，我认为这实在是一份振奋人心且令人印象深刻的工作，说R1才是真正的open和AI也不为过。但我有一个很关键的问题就是舍弃指令微调直接进行强化学习这一技术路线在较小的模型上可以奏效吗，毕竟训练一个600B的模型对于大部分人来说实在是太困难了。,
IssuesEvent,deepseek-ai/DeepSeek-R1,cdut007,2025-01-20T14:58:20Z,"an+1=an^2+1 ,a1=1(an^2表示an的平方） 求{an}的通项公式 ,以及an+1=an^2+1 ,a1=1(an^n表示an的n次方） 能给出答案，才是AGI ，目前只有最先进的AGI能给出答案",
IssuesEvent,deepseek-ai/DeepSeek-R1,kiankyars,2025-01-20T15:07:18Z,"Two typos on page 16 of the report Great paper, ""Conclusion, Limitation, and Future Work"" section header is better as:
""Conclusion, Limitation**s**, and Future Work""

""to generate 800K data"" on the same page can be improved to ""to generate 800K data samples""",
IssuesEvent,ollama/ollama,user-33948,2025-01-20T15:18:44Z,"Cannot overcome Ollama error : ollama._types.ResponseError: POST predict: Post ""http://127.0.0.1:35843/completion"": EOF / panic: failed to decode batch: could not find a kv cache slot ### What is the issue?

I believe there is a bug in ollama's processing which flags the following two errors:

(result from running python file:) Ollama error : ollama._types.ResponseError: POST predict: Post ""http://127.0.0.1:35843/completion"": EOF 

(error in ollama logs:) panic: failed to decode batch: could not find a kv cache slot

To recreate:  I am using Ollama as my LLM to create a property graph in Llamaindex, repeatable following the code in this documentation: https://docs.llamaindex.ai/en/stable/examples/property_graph/property_graph_advanced/

Shortly after the code begins to run, it flags the above errors with Ollama. I confirmed with LlamaIndex the problem is with Ollama, and not Llamaindex (https://github.com/run-llama/llama_index/issues/17424). The LlamaIndex team linked my issue to (http",
