user,degree_cent,strength,betweenness,pagerank_l1,pagerank_l2,community,macro_community,role
ahmedtalaltwd7,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
jyomu,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
FogoVoar,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
mdjamilkashemporosh,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
privacyfreak84,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
zeroducksleft,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
mcapodici,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
h3isenbug,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
grav,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
cniebla,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
bertoxic,0.015457788347205705,13,0.0004358462877755894,0.0018885512190634623,0.0,11,ollama,Amplifier
MaGnus-Li,0.015457788347205705,13,0.02822037257233453,0.0018671544266282791,0.0,13,deepseek,Bridge
kaiyliu,0.009512485136741973,8,0.011761885887926041,0.0018663789568326087,0.0,5,deepseek,Bridge
odrobnik,0.011890606420927466,11,0.0,0.0018453016629306985,0.0,16,ollama,Amplifier
duttaoindril,0.009512485136741973,9,1.9581752637638486e-05,0.001793870144454337,0.0,0,ollama,Amplifier
KobyPierce,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
utherbone,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
bunelaa,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
Pufferfish,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
monxa,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
cmm,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
okamototk,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
jim3692,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
gtors,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
pepijndevos,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
TheNexter,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
rstacruz,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
yeongbba,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
Schlaefer,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
EdoaLive,0.021403091557669437,18,0.0,0.0017746555688592743,0.0,6,ollama,Amplifier
libing64,0.03804994054696789,32,0.00475066364238918,0.0017665618988674933,0.0,7,ollama,Bridge
dhiltgen,0.005945303210463733,6,0.007125870562255815,0.0017396485320157903,0.12427960917878132,0,ollama,Bridge
AlgorithmicKing737,0.013079667063020214,11,0.002378121284185494,0.001730576456811022,0.0,10,ollama,Bridge
najanai,0.01426872770511296,16,0.038076269746899934,0.0017280322113482091,0.0,4,deepseek,Bridge
vYLQs6,0.0047562425683709865,6,0.0024028933808957595,0.001711595076324235,0.0,0,ollama,Bridge
nguyenhongson1902,0.013079667063020214,13,0.002200942858723251,0.0016644959311687274,0.0,2,ollama,Bridge
MoRocety,0.013079667063020214,13,0.002200942858723251,0.0016644959311687274,0.0,2,ollama,Bridge
neuhaus,0.009512485136741973,8,0.003039182379253715,0.001648300207659149,0.0,0,ollama,Bridge
majian159,0.011890606420927466,10,0.00023554725100503727,0.0016430664039946985,0.0,16,ollama,Amplifier
cbjuan,0.011890606420927466,10,0.00023554725100503727,0.0016430664039946985,0.0,16,ollama,Amplifier
arraylabs,0.011890606420927466,10,0.00023554725100503727,0.0016430664039946985,0.0,16,ollama,Amplifier
oceanapplications,0.011890606420927466,10,0.00023554725100503727,0.0016430664039946985,0.0,16,ollama,Amplifier
tompipe,0.011890606420927466,10,0.00023554725100503727,0.0016430664039946985,0.0,16,ollama,Amplifier
DevinduSamarasinghe,0.011890606420927466,10,0.00023554725100503727,0.0016430664039946985,0.0,16,ollama,Amplifier
IpslWon,0.011890606420927466,10,0.00023554725100503727,0.0016430664039946985,0.0,16,ollama,Amplifier
niltonvasques,0.011890606420927466,10,0.00023554725100503727,0.0016430664039946985,0.0,16,ollama,Amplifier
nikito,0.011890606420927466,10,0.00023554725100503727,0.0016430664039946985,0.0,16,ollama,Amplifier
TomaKatzarov,0.01426872770511296,12,0.007117931695072008,0.0016095890716240153,0.0,3,deepseek,Bridge
fallenreaper,0.005945303210463733,7,0.007062170885000851,0.0016024952465356116,0.0,0,ollama,Bridge
stevefan1999-personal,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
zoy-l,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
vmajor,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
stormyordos,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
realStandal,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
murilopereira006,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
lbg2008,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
Nareshvrao,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
saibalaji717,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
ntxxt,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
SirFutile586,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
ssjjyy410,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
Mganzzzzz,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
EsteraCodes,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
wangxiangg1,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
vrocwang,0.024970273483947678,21,0.00020565436205830797,0.0015919941112581162,0.0,4,deepseek,Amplifier
mchiang0610,0.005945303210463733,5,0.017961354951832223,0.001586724464807211,0.0,0,ollama,Bridge
waltercool,0.00713436385255648,6,0.006111425907654736,0.0015538078383586337,0.0,0,ollama,Bridge
letscagefdn,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
juanjopc,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
phpmac,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
lzl-mt,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
jenyss,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
reatang,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
liberty-rapid,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
vepicurean,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
sigren,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
thorwebdev,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
dickens88,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
danruggi,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
feliks912,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
aaronvg,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
MehdiBukhari,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
bgarnr,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
abylikhsanov,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
jayeew,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
flyfish101,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
ibndias,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
jacobpretorius,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
enemchy,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
Dey-Sumit,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
FORNDODAper,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
Chrisbattarbee,0.03091557669441141,26,0.0,0.001539195869481995,0.0,5,deepseek,Peripheral
pannous,0.008323424494649227,7,0.4770398052205425,0.0015202027385073803,0.0,14,mixed,Bridge
sardanabhav,0.00356718192627824,3,0.0047534114716041,0.001515703404155923,0.007845705674306152,1,langchain,Bridge
PrinceSajjadHussain,0.0047562425683709865,5,0.004750580374837213,0.0015019110189283336,0.0,0,ollama,Bridge
FellowTraveler,0.005945303210463733,5,0.004750580374837213,0.001491324800081608,0.0,14,mixed,Bridge
LeiHao0,0.011890606420927466,10,0.0,0.001474100212345755,0.0,10,ollama,Peripheral
Tanote650,0.011890606420927466,10,0.0,0.001474100212345755,0.0,10,ollama,Peripheral
mattapperson,0.011890606420927466,10,0.0,0.0014741002123457548,0.0,10,ollama,Peripheral
renato-umeton,0.011890606420927466,10,0.0,0.0014741002123457548,0.0,10,ollama,Peripheral
sakthi-geek,0.011890606420927466,10,0.0,0.0014741002123457548,0.0,10,ollama,Peripheral
ngxson,0.011890606420927466,10,0.0,0.0014741002123457548,0.0,10,ollama,Peripheral
verygreen,0.011890606420927466,10,0.0,0.0014741002123457548,0.0,10,ollama,Peripheral
Sahil9-coder,0.015457788347205705,13,3.137798916633638e-06,0.0014707056937520622,0.0,3,deepseek,Peripheral
swati536,0.015457788347205705,13,3.137798916633638e-06,0.0014707056937520622,0.0,3,deepseek,Peripheral
YepJin,0.015457788347205705,13,3.137798916633638e-06,0.0014707056937520622,0.0,3,deepseek,Peripheral
sldsmkd,0.015457788347205705,13,3.137798916633638e-06,0.0014707056937520622,0.0,3,deepseek,Peripheral
f3r33n,0.015457788347205705,13,3.137798916633638e-06,0.0014707056937520622,0.0,3,deepseek,Peripheral
kmkamilkhel,0.015457788347205705,13,3.137798916633638e-06,0.0014707056937520622,0.0,3,deepseek,Peripheral
mihoko-da,0.015457788347205705,13,3.137798916633638e-06,0.0014707056937520622,0.0,3,deepseek,Peripheral
FullStack-webDevloper,0.015457788347205705,13,3.137798916633638e-06,0.0014707056937520622,0.0,3,deepseek,Peripheral
Shripad735,0.015457788347205705,13,3.137798916633638e-06,0.0014707056937520622,0.0,3,deepseek,Peripheral
Abenu10,0.015457788347205705,13,3.137798916633638e-06,0.0014707056937520622,0.0,3,deepseek,Peripheral
isac1990,0.00713436385255648,6,0.04834041107525163,0.0014692002692143274,0.0,8,deepseek,Bridge
jessegross,0.00356718192627824,3,0.0047534114716041,0.0014413070093501755,0.0,15,ollama,Bridge
isaacasancheza,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
kongkang,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
snt1017,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
skytodmoon,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
toplinuxsir,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
movitecc,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
nurena24,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
sakujor,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
philogicae,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
4austinpowers,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
tobalo,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
xindoreen,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
wlsoft2006,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
wwek,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
random-zhu,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
iammrbt,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
deadprogram,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
cmheong,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
kattatzu,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
dengber,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
edgett,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
DhairyaNxtgen,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
TheurgicDuke771,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
OverStruck,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
BrokenByteOfCode,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
ImranR98,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
jorgevespa,0.0356718192627824,30,8.326755196727917e-08,0.0014403309405853564,0.0,7,ollama,Peripheral
PeterXiaTian,0.00713436385255648,6,0.011833984485589711,0.00142634507043935,0.0,8,deepseek,Bridge
snarkyalyx,0.010701545778834719,9,0.014198830867337768,0.0014241971766250424,0.0,4,deepseek,Bridge
DaneshCode,0.0047562425683709865,4,0.002378121284185494,0.0014191046849269424,0.0,18,deepseek,Bridge
Kreijstal,0.0047562425683709865,4,0.0047505803748372115,0.001405630245827981,0.0,9,ollama,Bridge
NeoZhangJianyu,0.00713436385255648,6,0.009300639216630617,0.0014024740116563282,0.0,6,ollama,Bridge
DangNhutNguyen,0.005945303210463733,5,0.0017005397855519326,0.001390478333473223,0.0,15,ollama,Peripheral
APinchofDill,0.009512485136741973,8,0.006214540512994678,0.0013814249156328259,0.0,3,deepseek,Bridge
jaykhatri0875,0.00713436385255648,6,0.003172058224476196,0.0013778127091946069,0.0,0,ollama,Bridge
Rakhsan,0.0047562425683709865,4,0.004750580374837213,0.0013622380632499376,0.0,0,ollama,Bridge
Panican-Whyasker,0.00713436385255648,6,0.002378121284185493,0.001358838085314104,0.0,2,ollama,Bridge
teekuningas,0.008323424494649227,7,0.0006610610950682271,0.0013581595400353863,0.0,0,ollama,Peripheral
sharpe5,0.008323424494649227,7,0.0006610610950682271,0.0013581595400353863,0.0,0,ollama,Peripheral
Auto-Rooter,0.008323424494649227,7,0.0006610610950682271,0.0013581595400353863,0.0,0,ollama,Peripheral
tbiehn,0.00713436385255648,6,0.020274544841829927,0.0013337191395684865,0.0,9,ollama,Bridge
maverickOG,0.00713436385255648,6,0.0023781212841854937,0.001317766693599895,0.0,4,deepseek,Bridge
xtareq,0.00356718192627824,3,0.004750580374837212,0.0013174533557626141,0.0,19,ollama,Bridge
DuskyElf,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
cjuerg67,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
erix22,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
CasCard,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
PrashantSakre,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
nexon33,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
xiehongxin,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
ACertainArchangel,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
dazistgut,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
andreagrandi,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
Mrahmani71,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
martinwozenilek,0.00713436385255648,6,0.0,0.0013159885797336247,0.0,0,ollama,Peripheral
kha84,0.00356718192627824,5,1.415548383443746e-06,0.0013089970176455715,0.0,0,ollama,Peripheral
yifan0011,0.0047562425683709865,4,0.002378121284185494,0.0012875859287869538,0.0,0,ollama,Bridge
tianshan233,0.011890606420927466,10,0.0,0.0012778386129821604,0.0,13,deepseek,Peripheral
luckman212,0.011890606420927466,10,0.0,0.0012778386129821604,0.0,13,deepseek,Peripheral
PetrDvoracek,0.011890606420927466,10,0.0,0.0012778386129821604,0.0,13,deepseek,Peripheral
Mehdi-Yanat,0.011890606420927466,10,0.0,0.0012778386129821604,0.0,13,deepseek,Peripheral
alpatiev,0.011890606420927466,10,0.0,0.0012778386129821604,0.0,13,deepseek,Peripheral
0xtanmoysamanta,0.011890606420927466,10,0.0,0.0012778386129821604,0.0,13,deepseek,Peripheral
jiwaCh,0.011890606420927466,10,0.0,0.0012778386129821604,0.0,13,deepseek,Peripheral
ankitT20,0.011890606420927466,10,0.0,0.0012778386129821604,0.0,13,deepseek,Peripheral
mognify,0.011890606420927466,10,0.0,0.0012778386129821604,0.0,13,deepseek,Peripheral
Ret2lib,0.011890606420927466,10,0.0,0.0012778386129821604,0.0,13,deepseek,Peripheral
rampageservices,0.009512485136741973,8,0.0,0.0012675216714665312,0.0,2,ollama,Peripheral
flyfox666,0.009512485136741973,8,0.0,0.0012675216714665312,0.0,2,ollama,Peripheral
harisiqbal12,0.009512485136741973,8,0.0,0.0012675216714665312,0.0,2,ollama,Peripheral
arunofhyd,0.009512485136741973,8,0.0,0.0012675216714665312,0.0,2,ollama,Peripheral
eduanmoldeep,0.009512485136741973,8,0.0,0.0012675216714665312,0.0,2,ollama,Peripheral
krecco,0.009512485136741973,8,0.0,0.0012675216714665312,0.0,2,ollama,Peripheral
HildaJ,0.009512485136741973,8,0.0,0.0012675216714665312,0.0,2,ollama,Peripheral
Nitish-bot,0.009512485136741973,8,0.0,0.0012675216714665312,0.0,2,ollama,Peripheral
cleverunit,0.0047562425683709865,5,1.1324387067549968e-05,0.0012640692302766465,0.0,0,ollama,Peripheral
xxyyy,0.00713436385255648,6,0.0,0.0012571984748421504,0.0,8,deepseek,Peripheral
LCorleone,0.00713436385255648,6,0.0,0.0012571984748421504,0.0,8,deepseek,Peripheral
haibingtown,0.00713436385255648,6,0.0,0.0012571984748421504,0.0,8,deepseek,Peripheral
breakenknife,0.00713436385255648,6,0.0,0.0012571984748421504,0.0,8,deepseek,Peripheral
Halflifefa,0.00713436385255648,6,0.0,0.0012571984748421504,0.0,8,deepseek,Peripheral
pprados,0.0023781212841854932,4,0.0,0.0012331073107203952,0.01968589646108686,1,langchain,Peripheral
plmsmile,0.005945303210463733,5,0.001991204726044201,0.0012250816127032224,0.0,8,deepseek,Bridge
BruceMacD,0.00356718192627824,3,0.004753411471604098,0.0012145805775187972,0.0,2,ollama,Bridge
user-33948,0.005945303210463733,5,0.013188116549322516,0.0012106748727549414,0.0,6,ollama,Bridge
ghj1976,0.005945303210463733,5,0.0,0.0011882814932644903,0.0,8,deepseek,Peripheral
4amup,0.005945303210463733,5,0.0,0.0011882814932644903,0.0,8,deepseek,Peripheral
kangkannnng,0.005945303210463733,5,0.0,0.0011882814932644903,0.0,8,deepseek,Peripheral
sunnyhwang,0.005945303210463733,5,0.0,0.0011882814932644903,0.0,8,deepseek,Peripheral
wardenxyz,0.005945303210463733,5,0.0,0.0011882814932644903,0.0,8,deepseek,Peripheral
pinballelectronica,0.009512485136741973,8,0.0019141215903762006,0.0011881290791318562,0.0,2,ollama,Bridge
YarvixPA,0.009512485136741973,8,0.0019141215903762006,0.0011881290791318562,0.0,2,ollama,Bridge
